Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
DEP ECA,JUP128,3,2018,Nitrate-Nitrite (N),0.003501675,mg/L N,16.2,
DEP ECA,STL164,3,2018,Nitrate-Nitrite (N),0.000280134,mg/L N,3.7,
DEP ECA,STL167,3,2018,Nitrate-Nitrite (N),0.000140067,mg/L N,6.7,
DEP ECA,STL172,3,2018,Nitrate-Nitrite (N),0.000420201,mg/L N,3.7,
DEP ECA,BAK020,4,2018,Nitrate-Nitrite (N),0.003361608,mg/L N,6.4,
DEP ECA,GOC005,4,2018,Nitrate-Nitrite (N),0.000980469,mg/L N,5.5,
DEP ECA,GOC008,4,2018,Nitrate-Nitrite (N),0.000280134,mg/L N,5.5,
DEP ECA,STL163,4,2018,Nitrate-Nitrite (N),0.002521206,mg/L N,6.4,
DEP ECA,STL166,4,2018,Nitrate-Nitrite (N),0.000280134,mg/L N,5.8,
DEP ECA,STL171,4,2018,Nitrate-Nitrite (N),0.000840402,mg/L N,3,
DEP ECA,GOC001,5,2018,Nitrate-Nitrite (N),0.005882814,mg/L N,5.8,
DEP ECA,GOC003,5,2018,Nitrate-Nitrite (N),0.005742747,mg/L N,16.5,
DEP ECA,GOC008,5,2018,Nitrate-Nitrite (N),0.006162948,mg/L N,5.8,
DEP ECA,GOC011,5,2018,Nitrate-Nitrite (N),0.002661273,mg/L N,6.7,
DEP ECA,GOC013,5,2018,Nitrate-Nitrite (N),0.00700335,mg/L N,47.2,
DEP ECA,STL162,5,2018,Nitrate-Nitrite (N),0.041319765,mg/L N,3,
DEP ECA,STL167,5,2018,Nitrate-Nitrite (N),0.009104355,mg/L N,6.1,
DEP ECA,STL170,5,2018,Nitrate-Nitrite (N),0.007843752,mg/L N,8.5,
DEP ECA,GOC005,6,2018,Nitrate-Nitrite (N),0.015127236,mg/L N,4.9,
DEP ECA,GOC011,6,2018,Nitrate-Nitrite (N),0.009244422,mg/L N,6.7,
DEP ECA,ILW110,6,2018,Nitrate-Nitrite (N),0.034036281,mg/L N,14.6,
DEP ECA,STL161,6,2018,Nitrate-Nitrite (N),0.023391189,mg/L N,3.7,
DEP ECA,STL166,6,2018,Nitrate-Nitrite (N),0.010084824,mg/L N,6.4,
DEP ECA,STL169,6,2018,Nitrate-Nitrite (N),0.01540737,mg/L N,1.8,
DEP ECA,GOC004,7,2018,Nitrate-Nitrite (N),0.000840402,mg/L N,4.6,
DEP ECA,GOC007,7,2018,Nitrate-Nitrite (N),0.001820871,mg/L N,6.1,
DEP ECA,GOC012,7,2018,Nitrate-Nitrite (N),0.000840402,mg/L N,27.4,
DEP ECA,GOC014,7,2018,Nitrate-Nitrite (N),0.008684154,mg/L N,25.9,
DEP ECA,STL162,7,2018,Nitrate-Nitrite (N),0.003781809,mg/L N,3,
DEP ECA,STL165,7,2018,Nitrate-Nitrite (N),0.002941407,mg/L N,3,
DEP ECA,STL170,7,2018,Nitrate-Nitrite (N),0.002521206,mg/L N,8.5,
DEP ECA,GOC003,8,2018,Nitrate-Nitrite (N),0.004342077,mg/L N,16.5,
DEP ECA,GOC008,8,2018,Nitrate-Nitrite (N),0.001120536,mg/L N,5.8,
DEP ECA,GOC011,8,2018,Nitrate-Nitrite (N),0.002661273,mg/L N,6.7,
DEP ECA,GOC013,8,2018,Nitrate-Nitrite (N),0.000980469,mg/L N,47.2,
DEP ECA,STL165,8,2018,Nitrate-Nitrite (N),0.001960938,mg/L N,3.7,
DEP ECA,STL168,8,2018,Nitrate-Nitrite (N),0.002381139,mg/L N,7.9,
DEP ECA,GOC003,9,2018,Nitrate-Nitrite (N),0.014426901,mg/L N,16.5,
DEP ECA,GOC006,9,2018,Nitrate-Nitrite (N),0.011485494,mg/L N,4,
DEP ECA,GOC011,9,2018,Nitrate-Nitrite (N),0,mg/L N,6.7,
DEP ECA,STL161,9,2018,Nitrate-Nitrite (N),0.001680804,mg/L N,4.3,
DEP ECA,STL164,9,2018,Nitrate-Nitrite (N),0.002661273,mg/L N,4.9,
DEP ECA,STL169,9,2018,Nitrate-Nitrite (N),0.001260603,mg/L N,2.4,
